Title,Composer,CatNo,Date,Range,Inst1,Inst2,Inst3,Genre,Subgenre,Species ,Species2,Nationality,Key,Modulation,Folder,Filename,Comments
25 Preludes Deuxieme Suite 16 assez Lentement in C-,Alkan,Op31,1844,,Piano,,,Prelude,,,,France,C minor,,A,25 Preludes Deuxieme Suite 16 assez Lentement in C- Op31 C minor,
25 Preludes Deuxieme Suite 17 Reve D'amour Assez Vite in Ab,Alkan,Op31,1844,,Piano,,,Prelude,,,,France,Ab major,,A,25 Preludes Deuxieme Suite 17 Reve D'amour Assez Vite in Ab Op31 Ab major,
25 Preludes Premiere Suite 1 Lentement in C,Alkan,Op31,1844,,Piano,,,Prelude,,,,France,C major,,A,25 Preludes Premiere Suite 1 Lentement in C Op31 C major,
25 Preludes Premiere Suite 2 Assez Lentement in f-,Alkan,Op31,1844,,Piano,,,Prelude,,,,France,F minor,,A,25 Preludes Premiere Suite 2 Assez Lentement in f- Op31 F minor,
25 Preludes Premiere Suite 3 Dans le genre ancien tres lentement in Db,Alkan,Op31,1844,,Piano,,,Prelude,,,,France,Db major,,A,25 Preludes Premiere Suite 3 Dans le genre ancien tres lentement in Db Op31 Db major,
25 Preludes Premiere Suite 4 Priere du Soir Assez Lentement in F#-,Alkan,Op31,1844,,Piano,,,Prelude,,,,France,F# minor,,A,25 Preludes Premiere Suite 4 Priere du Soir Assez Lentement in F#- Op31 F# minor,
25 Preludes Premiere Suite 5 Psaume 150me Avec Enthousiasme in D,Alkan,Op31,1844,,Piano,,,Prelude,,,,France,D major,,A,25 Preludes Premiere Suite 5 Psaume 150me Avec Enthousiasme in D Op31 D major,
25 Preludes Premiere Suite 6 Ancienne Melodie de la Synagogue Andnate Flebile in g-,Alkan,Op31,1844,,Piano,,,Prelude,,,,France,G minor,,A,25 Preludes Premiere Suite 6 Ancienne Melodie de la Synagogue Andnate Flebile in g- Op31 G minor,
25 Preludes Premiere Suite 7 Librement mais sans Secousses in Eb,Alkan,Op31,1844,,Piano,,,Prelude,,,,France,Eb major,,A,25 Preludes Premiere Suite 7 Librement mais sans Secousses in Eb Op31 Eb major,
25 Preludes Premiere Suite 8 La Chanson de la Folle au Bord de la Mer Lentemenet in Ab-,Alkan,Op31,1844,,Piano,,,Prelude,,,,France,Ab minor,,A,25 Preludes Premiere Suite 8 La Chanson de la Folle au Bord de la Mer Lentemenet in Ab- Op31 Ab minor,
25 Preludes Premiere Suite 9 Placiditas Tranquillement in E-,Alkan,Op31,1844,,Piano,,,Prelude,,,,France,E major,,A,25 Preludes Premiere Suite 9 Placiditas Tranquillement in E- Op31 E major,
Barcarolle,Alkan,Op65No6,1864,,Piano,,,OtherSolo,,,,France,G minor,,A,Barcarolle Op65No6 G minor,
Chante,Alkan,Op38aNo1,1857,,Piano,,,OtherSolo,,,,France,E major,,A,Chante Op38aNo1 E major,
Concert Sonata for Piano and Cello FInale,Alkan,Op47,1860,,Piano,Cello,,ChamberSonata,,LastMovement,,France,E minor,,A,Concert Sonata for Piano and Cello Finale Op47 E minor,
Esquisses 1 La Vision,Alkan,Op63,1861,,Piano,,,OtherSolo,,,,France,C major,,A,Esquisses 1 La Vision Op63 C major,
Esquisses 2 Le Staccatissimo,Alkan,Op63,1861,,Piano,,,OtherSolo,,,,France,F minor,,A,Esquisses 2 Le Staccatissimo Op63 F minor,
Etude de Concert Le Preux The Knight,Alkan,Op17,1844,,Piano,,,Etude,,,,France,Bb major,,A,Etude de Concert Le Preux The Knight Op17 Bb major,
Grand Sonate Les Quatre Ages 2 Quasi Faust,Alkan,Op33,1847,,Piano,,,ChamberSonata,,FastMovement,,France,Eb minor,,A,Grand Sonate Les Quatre Ages 2 Quasi Faust Op33 Eb minor,
"Le Chemin De Fer, Etude",Alkan,Op27,1844,,Piano,,,Etude,,,,France,D minor,,A,"Le Chemin De Fer, Etude Op27 D minor",
Les Mois Gros Temps,Alkan,Op74Bk4No1,,1850-1870,Piano,,,OtherSolo,,,,France,D minor,,A,Les Mois Gros Temps Op74Bk4No1 D minor,
Les Mois Un Nuit Dete,Alkan,Op74Bk3No1,,1850-1870,Piano,,,OtherSolo,,,,France,A major,,A,Les Mois Un Nuit Dete Op74Bk3No1 A major,
Les Mois Une Nuite dHiver,Alkan,Op74No1,,1850-1870,Piano,,,OtherSolo,,,,France,G minor,,A,Les Mois Une Nuite dHiver Op74No1 G minor,
